date,nav,cash,open_positions,total_premium_at_risk,premium_at_risk_pct,total_return_pct,current_drawdown_pct,vix_spot
2024-10-14,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.7
2024-10-15,10000.0,10000.0,0,0.0,0.0,0.0,0.0,20.64
2024-10-16,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.58
2024-10-17,10000.0,10000.0,0,0.0,0.0,0.0,0.0,19.11
2024-10-18,10000.0,10000.0,0,0.0,0.0,0.0,0.0,18.03
2024-10-21,10470.7,10470.7,1,28.00000000000017,0.26741287592997764,4.707000000000007,0.0,18.37
2024-10-22,10943.7,10470.7,1,28.00000000000017,0.2558549667845442,9.437000000000008,0.0,18.2
2024-10-23,10754.400000000001,10754.400000000001,0,0.0,0.0,7.544000000000015,1.717883348410501,19.24
2024-10-24,10754.400000000001,10754.400000000001,0,0.0,0.0,7.544000000000015,1.717883348410501,19.08
2024-10-25,11081.2,11081.2,1,3668.0,33.10110818322925,10.812000000000008,1.717883348410501,20.33
2024-10-28,11217.2,11081.2,1,3668.0,32.69978247691046,12.172000000000008,0.0,19.8
2024-10-29,11941.2,11081.2,1,3668.0,30.717180852845612,19.412000000000006,0.0,19.34
2024-10-30,12153.2,11081.2,1,3668.0,30.181351413619456,21.532000000000007,0.0,20.35
2024-10-31,11181.2,11081.2,1,3668.0,32.80506564590562,11.812000000000006,7.997893558898067,23.16
2024-11-01,11177.2,11081.2,1,3668.0,32.81680564005296,11.772000000000007,8.030806701115754,21.88
2024-11-04,11157.2,11081.2,1,3668.0,32.87563187896605,11.572000000000008,8.195372412204192,21.98
2024-11-05,11145.2,11081.2,1,3668.0,32.91102896314108,11.452000000000007,8.294111838857257,20.49
2024-11-06,11137.2,11081.2,1,3668.0,32.93466939625759,11.372000000000007,8.35993812329263,16.27
2024-11-07,11121.2,11081.2,1,3668.0,32.982052296514766,11.212000000000007,8.49159069216338,15.2
2024-11-08,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.94
2024-11-11,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.97
2024-11-12,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.71
2024-11-13,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.02
2024-11-14,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.31
2024-11-15,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,16.14
2024-11-18,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,15.58
2024-11-19,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,16.35
2024-11-20,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,17.16
2024-11-21,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,16.87
2024-11-22,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,15.24
2024-11-25,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.6
2024-11-26,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.1
2024-11-27,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.1
2024-11-29,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.51
2024-12-02,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.34
2024-12-03,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.3
2024-12-04,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.45
2024-12-05,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.54
2024-12-06,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,12.77
2024-12-09,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.19
2024-12-10,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,14.18
2024-12-11,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.58
2024-12-12,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.92
2024-12-13,11076.0,11076.0,0,0.0,0.0,10.76,8.820722114340256,13.81
